同種の数,処理時間の平均,平方根和の差の平均,世代交代数,個体集団内の個体の数,エリート保存戦略で残す個体の数,トーナメント選択で無作為抽出する個体の数,突然変異確率,フロイド問題におけるN,選択方式,交叉方式
20,0.03127525,0.00404290,100,100,5,15,0.100000,32,トーナメント選択,2点交叉
20,0.03196625,0.00518470,100,100,5,15,0.100000,32,トーナメント選択,一様交叉
20,0.02976440,0.00396645,100,100,5,15,0.100000,32,トーナメント選択,1点交叉
20,0.03061745,0.00345415,100,100,5,15,0.100000,32,ランキング選択,2点交叉
20,0.02847230,0.00346805,100,100,5,15,0.100000,32,ランキング選択,一様交叉
20,0.02786815,0.00306795,100,100,5,15,0.100000,32,ランキング選択,1点交叉
20,0.05223590,0.00626505,100,100,5,15,0.100000,64,トーナメント選択,2点交叉
20,0.05272155,0.00627240,100,100,5,15,0.100000,64,トーナメント選択,一様交叉
20,0.05389010,0.00668490,100,100,5,15,0.100000,64,トーナメント選択,1点交叉
20,0.04819560,0.00617765,100,100,5,15,0.100000,64,ランキング選択,2点交叉
20,0.04862665,0.00601015,100,100,5,15,0.100000,64,ランキング選択,一様交叉
20,0.05072395,0.00573150,100,100,5,15,0.100000,64,ランキング選択,1点交叉
20,0.03322610,0.00375870,100,100,5,15,0.010000,32,トーナメント選択,2点交叉
20,0.03117710,0.00329820,100,100,5,15,0.010000,32,トーナメント選択,一様交叉
20,0.03057980,0.00235530,100,100,5,15,0.010000,32,トーナメント選択,1点交叉
20,0.02986950,0.00283395,100,100,5,15,0.010000,32,ランキング選択,2点交叉
20,0.03041360,0.00301110,100,100,5,15,0.010000,32,ランキング選択,一様交叉
20,0.03626540,0.00247995,100,100,5,15,0.010000,32,ランキング選択,1点交叉
20,0.05327935,0.00578520,100,100,5,15,0.010000,64,トーナメント選択,2点交叉
20,0.05422745,0.00647480,100,100,5,15,0.010000,64,トーナメント選択,一様交叉
20,0.05447735,0.00715050,100,100,5,15,0.010000,64,トーナメント選択,1点交叉
20,0.05963925,0.00423475,100,100,5,15,0.010000,64,ランキング選択,2点交叉
20,0.05523820,0.00575180,100,100,5,15,0.010000,64,ランキング選択,一様交叉
20,0.04980270,0.00503610,100,100,5,15,0.010000,64,ランキング選択,1点交叉
